Date,ITCRM ,ITCRB Brasil,ITCRB Estados Unidos
1999-07-29,73.214,77.891585,73.6939908
1999-07-30,73.289,78.3059236,73.6995794
1999-07-31,73.299,78.3286137,73.7051684
1999-08-01,73.316,78.3522543,73.7198354
1999-08-02,72.993,77.1264532,73.7345053
1999-08-03,72.976,77.149731,73.7491781
1999-08-04,73.125,76.9614667,73.7638538
1999-08-05,72.909,76.1083335,73.7785325
1999-08-06,72.716,75.843637,73.7932141
1999-08-07,72.733,75.8665276,73.8078986
1999-08-08,72.75,75.8894251,73.822586
1999-08-09,72.697,75.8712773,73.8372763
1999-08-10,72.476,74.724821,73.8519696
1999-08-11,72.47,75.2269331,73.8666658
1999-08-12,72.576,75.7764817,73.8813649
1999-08-13,72.225,75.0316503,73.8960669
1999-08-14,72.242,75.0542958,73.9107719
1999-08-15,72.259,75.0769481,73.9254798
1999-08-16,72.276,75.0996073,73.9401906
1999-08-17,72.087,74.6844057,73.9549043
1999-08-18,72.083,74.2348314,73.969621
1999-08-19,72.042,73.483349,73.9843406
1999-08-20,71.975,73.0865878,73.9990631
1999-08-21,71.992,73.1086462,74.0137886
1999-08-22,72.009,73.1307113,74.028517
1999-08-23,72.353,75.4192226,74.0432483
1999-08-24,72.419,75.5226259,74.0579825
1999-08-25,71.821,73.7702204,74.0727197
1999-08-26,71.799,73.8310636,74.0874598
1999-08-27,71.561,72.9011773,74.1022029
1999-08-28,71.578,72.9231798,74.1169488
1999-08-29,71.595,72.9451889,74.1316978
1999-08-30,71.619,73.0424739,74.1464496
1999-08-31,72.177,73.8654149,74.1612044
1999-09-01,72.187,73.8779506,74.1764689
1999-09-02,72.393,73.6980892,74.1917366
1999-09-03,72.392,74.4078255,74.2070074
1999-09-04,72.403,74.4204533,74.2222813
1999-09-05,72.413,74.4330831,74.2375584
1999-09-06,72.278,74.2506352,74.2528387
1999-09-07,72.264,74.2632363,74.268122
1999-09-08,72.311,74.3537845,74.2834086
1999-09-09,72.696,75.717066,74.2986982
1999-09-10,72.601,76.0141576,74.3139911
1999-09-11,72.612,76.0270579,74.329287
1999-09-12,72.623,76.0399604,74.3445861
1999-09-13,72.52,76.1345641,74.3598884
1999-09-14,72.29,75.7004756,74.3751938
1999-09-15,72.441,75.7133227,74.3905024
1999-09-16,72.457,75.726172,74.4058141
1999-09-17,72.428,75.7390234,74.421129
1999-09-18,72.439,75.7518771,74.436447
1999-09-19,72.449,75.7647329,74.4517682
1999-09-20,72.454,75.7775909,74.4670925
1999-09-21,72.695,75.7904511,74.48242
1999-09-22,72.726,75.8033134,74.4977506
1999-09-23,72.737,75.816178,74.5130844
1999-09-24,72.643,75.8290447,74.5284213
1999-09-25,72.654,75.8419136,74.5437614
1999-09-26,72.665,75.8547847,74.5591047
1999-09-27,72.676,75.867658,74.5744511
1999-09-28,72.926,75.8805335,74.5898007
1999-09-29,73.071,75.8934111,74.6051534
1999-09-30,73.121,75.906291,74.6205093
1999-10-01,73.324,75.9356535,74.6251862
1999-10-02,73.334,75.9650275,74.6298633
1999-10-03,73.345,75.9944128,74.6345407
1999-10-04,72.449,73.06089,74.6392184
1999-10-05,72.4,73.089152,74.6438964
1999-10-06,72.682,73.1174248,74.6485747
1999-10-07,72.498,73.1457086,74.6532532
1999-10-08,72.293,73.1740033,74.6579321
1999-10-09,72.304,73.202309,74.6626113
1999-10-10,72.314,73.2306256,74.6672907
1999-10-11,72.324,73.2589532,74.6719705
1999-10-12,72.582,73.2872917,74.6766505
1999-10-13,72.589,73.3156412,74.6813309
1999-10-14,72.677,73.3440017,74.6860115
1999-10-15,72.687,73.3723731,74.6906924
1999-10-16,72.698,73.4007556,74.6953736
1999-10-17,72.708,73.4291489,74.7000552
1999-10-18,72.718,73.4575533,74.704737
1999-10-19,72.856,73.4859687,74.7094191
1999-10-20,72.664,73.514395,74.7141015
1999-10-21,72.363,71.9921575,74.7187841
1999-10-22,72.289,72.6399133,74.7234671
1999-10-23,72.299,72.6680124,74.7281504
1999-10-24,72.309,72.6961224,74.732834
1999-10-25,72.262,72.2850214,74.7375178
1999-10-26,72.029,72.6788077,74.742202
1999-10-27,71.956,72.7069218,74.7468864
1999-10-28,71.916,72.7350468,74.7515712
1999-10-29,71.926,72.7631826,74.7562562
1999-10-30,71.936,72.7913294,74.7609415
1999-10-31,71.946,72.8194871,74.7656271
1999-11-01,72.183,73.821,74.7779631
1999-11-02,72.269,73.852064,74.790301
1999-11-03,72.215,73.8831411,74.802641
1999-11-04,72.251,75.0293807,74.814983
1999-11-05,72.292,75.0609532,74.8273271
1999-11-06,72.308,75.0925391,74.8396732
1999-11-07,72.325,75.1241382,74.8520213
1999-11-08,72.299,74.9607438,74.8643715
1999-11-09,72.404,74.9922874,74.8767237
1999-11-10,72.452,75.0238443,74.889078
1999-11-11,72.426,75.0554145,74.9014343
1999-11-12,72.244,75.086998,74.9137926
1999-11-13,72.26,75.1185948,74.926153
1999-11-14,72.277,75.1502048,74.9385154
1999-11-15,72.297,75.1818282,74.9508798
1999-11-16,72.28,75.2134649,74.9632463
1999-11-17,72.531,75.0503833,74.9756148
1999-11-18,72.477,75.0819647,74.9879854
1999-11-19,72.379,75.1135593,75.000358
1999-11-20,72.395,75.1451673,75.0127327
1999-11-21,72.412,75.1767885,75.0251093
1999-11-22,72.482,75.2084231,75.0374881
1999-11-23,72.442,75.2790285,75.0498689
1999-11-24,72.172,75.310706,75.0622517
1999-11-25,72.251,75.3423969,75.0746365
1999-11-26,72.184,75.3741012,75.0870234
1999-11-27,72.201,75.4058188,75.0994124
1999-11-28,72.217,75.4375497,75.1118034
1999-11-29,72.141,75.6653026,75.1241964
1999-11-30,72.074,75.6971427,75.1365915
1999-12-01,72.11,75.7132627,75.1438489
1999-12-02,72.013,75.7293862,75.1511071
1999-12-03,72.019,75.7455131,75.1583659
1999-12-04,72.029,75.7616434,75.1656254
1999-12-05,72.04,75.7777771,75.1728857
1999-12-06,72.526,75.7939143,75.1801466
1999-12-07,72.534,75.8100549,75.1874083
1999-12-08,72.544,75.826199,75.1946706
1999-12-09,72.461,75.8423465,75.2019336
1999-12-10,72.387,75.8584974,75.2091974
1999-12-11,72.398,75.8746518,75.2164618
1999-12-12,72.409,75.8908096,75.223727
1999-12-13,72.329,75.9069709,75.2309928
1999-12-14,72.218,75.9231356,75.2382594
1999-12-15,72.228,75.9393037,75.2455266
1999-12-16,72.447,75.9554753,75.2527946
1999-12-17,72.287,75.9716504,75.2600632
1999-12-18,72.298,75.9878288,75.2673326
1999-12-19,72.309,76.0040107,75.2746027
1999-12-20,72.327,76.0201961,75.2818734
1999-12-21,73.577,80.2004311,75.2891449
1999-12-22,73.515,80.2175101,75.2964171
1999-12-23,73.724,80.2345927,75.3036899
1999-12-24,73.735,80.251679,75.3109635
1999-12-25,73.746,80.268769,75.3182378
1999-12-26,73.757,80.2858625,75.3255127
1999-12-27,73.768,80.3029597,75.3327884
1999-12-28,73.778,80.3200606,75.3400648
1999-12-29,73.789,80.33716509999999,75.3473419
1999-12-30,73.8,80.3542732,75.3546197
1999-12-31,73.811,80.371385,75.3618982
2000-01-01,73.8,80.365589,75.3486274
2000-01-02,73.789,80.3597934,75.3353591
2000-01-03,73.848,80.2222379,75.322093
2000-01-04,74.033,80.2164527,75.3088293
2000-01-05,74.107,80.2106679,75.2955679
2000-01-06,74.01,80.2048835,75.2823088
2000-01-07,73.987,80.1990996,75.2690521
2000-01-08,73.976,80.193316,75.2557977
2000-01-09,73.965,80.1875329,75.2425457
2000-01-10,73.953,80.1817502,75.229296
2000-01-11,73.942,80.1759679,75.2160486
2000-01-12,73.906,80.170186,75.2028036
2000-01-13,73.82,80.1644045,75.1895608
2000-01-14,73.619,80.1586235,75.1763205
2000-01-15,73.608,80.1528428,75.1630824
2000-01-16,73.597,80.1470626,75.1498467
2000-01-17,73.43,80.1412828,75.1366133
2000-01-18,73.457,80.1355035,75.1233822
2000-01-19,73.446,80.1297245,75.1101535
2000-01-20,73.486,80.1239459,75.0969271
2000-01-21,73.355,80.1181678,75.083703
2000-01-22,73.344,80.1123901,75.0704813
2000-01-23,73.333,80.1066128,75.0572619
2000-01-24,73.199,80.1008359,75.0440448
2000-01-25,73.205,80.0950595,75.03083
2000-01-26,73.132,80.0892834,75.0176176
2000-01-27,72.911,80.0835078,75.0044075
2000-01-28,72.608,80.0777326,74.9911997
2000-01-29,73.109,82.2762004,74.9779943
2000-01-30,73.097,82.270267,74.9647911
2000-01-31,73.086,82.2643341,74.9515903
2000-02-01,73.058,82.2679077,74.96215
2000-02-02,73.057,82.2714814,74.9727112
2000-02-03,73.473,82.2750553,74.9832739
2000-02-04,73.17,82.2786293,74.9938381
2000-02-05,73.179,82.2822035,75.0044038
2000-02-06,73.189,82.2857779,75.0149709
2000-02-07,73.165,82.2893524,75.0255395
2000-02-08,73.411,82.292927,75.0361097
2000-02-09,73.175,82.2965019,75.0466813
2000-02-10,73.407,82.3000768,75.0572544
2000-02-11,73.325,82.303652,75.067829
2000-02-12,73.334,82.3072272,75.0784051
2000-02-13,73.344,82.3108027,75.0889826
2000-02-14,73.238,82.3143783,75.0995617
2000-02-15,73.377,82.317954,75.1101423
2000-02-16,73.386,82.3215299,75.1207243
2000-02-17,73.446,82.325106,75.1313078
2000-02-18,73.413,82.3286822,75.1418929
2000-02-19,73.423,82.3322585,75.1524794
2000-02-20,73.432,82.3358351,75.1630674
2000-02-21,73.424,82.3394117,75.1736569
2000-02-22,73.892,82.3429886,75.1842479
2000-02-23,73.832,82.3465656,75.1948404
