Date,Official,MEP,CCL,Wholesale 
2015-12-04,9.88,14.11764705882353,14.56310679611651,9.7273
2015-12-09,9.91,13.81801125703565,14.16346153846154,9.7367
2015-12-10,9.91,13.63084112149533,13.95693779904306,9.7488
2015-12-11,13.93,13.65168539325843,13.91885441527446,9.7728
2015-12-14,13.71,13.26824732682473,13.59047619047619,9.7875
2015-12-15,13.27,13.20669380370873,13.90476190476191,9.806
2015-12-16,13.29,13.50845948352627,14.11162790697674,9.8268
2015-12-17,13.35,13.54910714285714,14.11627906976744,13.7633
2015-12-18,13.3,13.68181818181818,14.0,13.4217
2015-12-21,13.35,13.1981981981982,13.44036697247706,12.8083
2015-12-22,13.27,13.4,13.52293577981651,12.9375
2015-12-23,13.28,13.62602365787079,13.73853211009174,13.0442
2015-12-24,13.4,13.92201834862385,13.92201834862385,13.05
2015-12-28,13.31,14.09090909090909,14.48598130841122,13.0558
2015-12-29,13.88,14.10000018348624,14.36355158878504,12.9658
2015-12-30,14.04,13.85747126436782,14.08411214953271,12.9757
2015-12-31,14.16,13.68663594470046,13.85261194029851,13.005
2016-01-04,14.1,13.72365339578454,13.69158878504673,13.0692
2016-01-05,14.06,13.72881355932203,13.81990521327014,13.455
2016-01-06,13.82,13.53051643192488,13.82254196642686,13.835
2016-01-07,13.82,13.40887629839471,13.52380952380952,13.9413
2016-01-08,13.63,13.61702127659574,13.81294964028777,13.865
2016-01-11,13.72,13.62428842504744,13.80769230769231,13.8725
2016-01-12,13.73,13.73688155922039,13.92874109263658,13.5833
2016-01-13,13.69,13.79758588672238,14.0188679245283,13.56
2016-01-14,13.7,13.85614849187935,13.98594847775176,13.46
2016-01-15,13.83,13.84686774941995,14.0093896713615,13.4367
2016-01-18,13.96,13.93548387096774,14.13084112149533,13.5117
2016-01-19,14.02,13.96313364055299,14.09302325581395,13.4867
2016-01-20,14.07,14.05604042259991,14.16666666666667,13.4467
2016-01-21,14.1,14.15596330275229,14.28703703703704,13.5533
2016-01-22,14.12,14.16169039963252,14.32620817843866,13.715
2016-01-25,14.13,14.24242424242424,14.40111420612813,13.7832
2016-01-26,14.27,14.29551692589204,14.46759259259259,13.8378
2016-01-27,14.32,14.46535107847637,14.55216989843029,13.8912
2016-01-28,14.35,14.66974595842956,14.77209302325581,13.8892
2016-01-29,14.38,14.8055373645708,14.96350004679458,13.904
2016-02-01,14.54,14.93087557603687,15.0,14.0883
2016-02-02,14.71,14.89400921658986,14.96296296296296,14.1367
2016-02-03,14.78,15.12844036697248,15.30394431554524,14.1433
2016-02-04,14.95,15.1730771062271,15.25690626151013,14.1862
2016-02-05,14.95,15.13330927645491,15.10137660550459,14.3142
2016-02-10,14.99,15.08256880733945,15.08256880733945,14.4717
2016-02-11,15.11,15.27638190954774,15.43147208121827,14.5592
2016-02-12,15.24,15.45496535796767,15.58453656264555,14.7298
2016-02-15,15.24,15.42012927054478,15.54572957877589,14.7733
2016-02-16,15.37,15.34862385321101,15.49074074074074,14.8498
2016-02-17,15.64,15.45600366636114,15.5629903091832,14.9142
2016-02-18,15.55,15.6959706959707,15.82056488831456,15.0333
2016-02-19,15.56,15.91996320147194,15.98614318706698,15.0283
2016-02-22,15.69,15.71296296296296,15.72752548656163,15.09
2016-02-23,15.88,15.41666666666667,15.48837209302326,15.42
2016-02-24,16.07,15.24379024839006,15.30715935334873,15.3483
2016-02-25,15.88,15.28899082568807,15.3382420616659,15.3708
2016-02-26,15.48,15.40877598152425,15.40877598152425,15.435
2016-02-29,15.44,15.29792147806005,15.29792147806005,15.5842
2016-03-01,15.59,15.33209693877551,15.37488418604651,15.9192
2016-03-02,15.65,14.9025069637883,14.86111111111111,15.6852
2016-03-03,15.59,14.78240740740741,14.71428571428571,15.445
2016-03-04,15.57,14.59584295612009,14.59584295612009,15.195
2016-03-07,15.2,14.62672811059908,14.62672811059908,15.3442
2016-03-08,15.0,14.72451790633609,14.77880184331797,15.4392
2016-03-09,14.85,14.67889908256881,14.67889908256881,15.3633
2016-03-10,14.8,14.49035812672176,14.54377880184332,15.3403
2016-03-11,15.04,14.43119266055046,14.47102115915363,15.1183
2016-03-14,15.08,14.51061865189289,14.49723247232472,14.8017
2016-03-15,14.7,14.69689958352614,14.7037037037037,14.6083
2016-03-16,14.63,14.66666666666667,14.70069605568446,14.5093
2016-03-17,14.71,14.6285186894324,14.60829493087558,14.6273
2016-03-18,14.98,14.68447719944726,14.72517321016166,14.8217
2016-03-21,14.87,14.78801843317972,14.82217090069284,14.5808
2016-03-22,14.84,14.72350230414747,14.79166666666667,14.2458
2016-03-23,14.89,14.65620673742501,14.66974595842956,14.426
2016-03-28,15.0,14.58534127276071,14.59742300966406,14.6383
2016-03-29,15.04,14.48022079116835,14.4735632183908,14.884
2016-03-30,14.92,14.44393382352941,14.45057471264368,14.6167
2016-03-31,14.93,14.5045871559633,14.5045871559633,14.5817
2016-04-01,14.77,14.41095890410959,14.46379468377635,14.7033
2016-04-04,14.69,14.4172335600907,14.45,14.7792
2016-04-05,14.74,14.30357142857143,14.33557046979866,14.6817
2016-04-06,14.74,14.20017873100983,14.1875,14.6913
2016-04-07,14.63,14.15178571428571,14.2152466367713,14.525
2016-04-08,14.62,14.23758865248227,14.27555555555556,14.43
2016-04-11,14.48,14.30530973451327,14.3370288248337,14.51
2016-04-12,14.38,14.33904259991217,14.35164835164835,14.54
2016-04-13,14.43,14.375,14.45132743362832,14.4242
2016-04-14,14.54,14.31087626596213,14.36781609195402,14.3683
2016-04-15,14.66,14.27316644707949,14.28571428571429,14.295
2016-04-18,14.62,14.19964819700967,14.22466960352423,14.14
2016-04-19,14.59,14.18788410886743,14.20659340659341,14.1418
2016-04-20,14.57,14.21140333333333,14.30551858719647,14.2425
2016-04-21,14.47,14.14847161572052,14.14847161572052,14.36
2016-04-22,14.49,14.16547808817225,14.23384597802198,14.4558
2016-04-25,14.51,14.16970802919708,14.20860018298262,14.3308
2016-04-26,14.52,14.16134913400182,14.15489749430524,14.3122
2016-04-27,14.46,14.12756264236902,14.14689781021898,14.2408
2016-04-28,14.47,14.16970802919708,14.1503416856492,14.1702
2016-04-29,14.52,14.11496350364964,14.12785388127854,14.2582
2016-05-02,14.5,14.06478102189781,14.07762557077626,14.2617
2016-05-03,14.48,14.04090909090909,14.10502283105023,14.2098
2016-05-04,14.5,14.03406365668468,14.09772727272727,14.2133
2016-05-05,14.5,14.03619909502262,14.1,14.2535
2016-05-06,14.46,14.02538531278332,14.03174603174603,14.2355
2016-05-09,14.44,13.93636363636364,13.93636363636364,14.2242
2016-05-10,14.42,14.03203661327231,14.0127970749543,14.2312
2016-05-11,14.38,13.96810933940774,13.98084815321477,14.222
2016-05-12,14.38,13.91343963553531,13.92612859097127,14.1987
2016-05-13,14.36,13.97278911564626,13.97278911564626,14.1622
2016-05-16,14.31,14.0,13.9873417721519,14.1498
2016-05-17,14.28,13.93645786390266,13.99321266968326,14.1318
2016-05-18,14.29,13.88888888888889,14.02714932126697,14.1108
2016-05-19,14.3,13.98214285714286,14.01342281879195,14.1222
2016-05-20,14.23,13.95204262877442,14.02678571428571,14.0803
2016-05-23,14.23,13.886925795053,13.96092362344583,14.0117
2016-05-24,14.25,13.88079470198675,13.91150442477876,14.0233
2016-05-26,14.22,13.80616740088106,13.86725663716814,14.0875
2016-05-27,14.17,13.86842105263158,13.86842105263158,13.9867
2016-05-30,14.14,13.85054945054945,13.84446397188049,13.9633
2016-05-31,14.03,13.86925795053003,13.89380530973451,14.0127
2016-06-01,14.07,13.85499557913351,13.88568896765618,13.9537
2016-06-02,14.07,13.83658969804618,13.86120996441281,13.9343
2016-06-03,14.09,13.8646482635797,13.90178571428571,13.8783
2016-06-06,14.08,13.84513274336283,13.88198757763975,13.7773
2016-06-07,14.07,13.9637649138312,13.98230088495575,13.8042
2016-06-08,14.03,14.02153802197802,14.05242246696035,13.835
2016-06-09,14.01,14.13024475524475,14.16739702015776,13.8498
2016-06-10,14.12,14.43290043290043,14.46420824295011,13.8197
2016-06-13,14.16,14.91703056768559,14.94967177242888,13.7983
2016-06-14,14.3,15.21397379912664,15.29411764705882,13.7725
2016-06-15,14.54,14.90026019080659,15.00436681222707,13.7568
2016-06-16,15.09,14.93562231759657,14.96130696474635,13.7935
2016-06-20,15.42,15.17094017094017,15.26881720430108,
2016-06-21,15.21,15.11864406779661,15.19591141396933,13.8783
2016-06-22,15.17,15.0848896434635,15.12340425531915,14.0253
2016-06-23,15.21,14.91452991452991,14.91452991452991,14.1908
2016-06-24,15.33,14.83261802575107,14.83261802575107,14.8365
2016-06-27,15.32,14.79828326180258,14.86206896551724,15.0302
2016-06-28,15.19,14.68376068376068,14.70890410958904,15.0563
2016-06-29,15.01,14.63184931506849,14.60683760683761,14.9042
2016-06-30,14.92,14.63081519419548,14.66210436270316,14.92
2016-07-01,14.95,14.74807856532878,14.78595890410959,15.119
2016-07-04,14.86,14.99570815450644,15.02795698924731,15.0675
2016-07-05,14.83,15.19074153450493,15.21030042918455,15.0187
2016-07-06,14.94,15.05972696245734,15.05972696245734,14.755
2016-07-07,15.2,15.07246376811594,15.08532423208191,14.6925
2016-07-11,15.35,15.03823279524214,15.06382978723404,14.71
2016-07-12,15.26,14.92372881355932,15.11587982832618,14.5992
2016-07-13,15.23,14.94463373083475,15.00855431993156,14.5718
2016-07-14,15.29,14.97008547008547,15.0343347639485,14.6203
2016-07-15,15.16,14.98290598290598,15.04721030042919,14.8583
2016-07-18,15.16,15.00857632933105,15.08620689655172,15.0557
2016-07-19,15.17,15.01283261802575,15.07754310344827,15.1933
2016-07-20,15.21,14.98150520430108,15.01379293103448,14.9967
2016-07-21,15.26,14.83870967741935,14.87068965517241,15.0425
2016-07-22,15.29,14.89435101336783,14.88793103448276,14.9517
2016-07-25,15.22,14.90380504489098,14.96137339055794,14.9267
2016-07-26,15.11,14.85897435897436,14.89717223650386,14.9583
2016-07-27,15.09,14.70650814049481,14.76923076923077,14.9783
2016-07-28,15.1,14.75703324808184,14.7948717948718,15.0275
2016-07-29,15.08,14.74533106960951,14.77040816326531,15.0447
2016-08-01,15.0,14.70974576271187,14.70974576271187,14.9858
2016-08-02,15.03,14.74304970513901,14.76793248945148,14.8542
2016-08-03,14.97,14.68067226890756,14.68067226890756,14.8675
2016-08-04,14.92,14.74747474747475,14.75368421052632,14.8812
2016-08-05,14.94,14.91969568892646,14.88195615514334,14.8483
2016-08-08,14.92,14.9238578680203,14.94915254237288,14.7908
2016-08-09,14.99,14.88964346349745,14.92765957446809,14.7675
2016-08-10,15.14,14.84732824427481,14.85993208828523,14.7472
2016-08-11,15.15,14.8728813559322,14.93617021276596,14.6583
2016-08-12,15.11,14.93005510809665,14.98723404255319,14.6525
2016-08-16,15.11,15.03378378378378,15.0210970464135,14.6702
2016-08-17,15.12,15.09243697478992,15.1433389544688,14.6975
2016-08-18,15.11,15.01889962200756,14.98742665549036,14.8525
2016-08-19,15.19,14.93702770780856,14.96844762305427,14.9425
2016-08-22,15.28,14.91176470588235,14.9746835443038,14.8995
2016-08-23,15.29,14.96033402922756,14.97283744254074,14.8325
2016-08-24,15.16,15.03299874686717,15.03928081905558,14.8747
2016-08-25,15.13,15.04166666666667,15.04166666666667,14.8837
2016-08-26,15.2,15.03734439834025,15.03734439834025,14.929
2016-08-29,15.21,15.04387797743418,15.0,15.0608
2016-08-30,15.23,14.99580888516345,14.97071129707113,15.0988
2016-08-31,15.25,14.97066219614418,15.00840336134454,14.9008
2016-09-01,15.27,14.97893850042123,15.0042194092827,14.8843
2016-09-02,15.25,15.03378378378378,15.0210970464135,14.9
2016-09-05,15.23,15.08016877637131,15.10566356720203,14.995
2016-09-06,15.29,15.12647554806071,15.10736842105263,15.0067
2016-09-07,15.24,15.13900589721988,15.13263157894737,15.025
2016-09-08,15.26,15.157496850063,15.16386554621849,15.0665
2016-09-09,15.34,15.1893971067815,15.15012510425354,15.0577
2016-09-12,15.35,15.15833333333333,15.15833333333333,14.9887
2016-09-13,15.37,15.16896120150188,15.21338912133891,14.9125
2016-09-14,15.35,15.20868113522538,15.2023362536504,15.0275
2016-09-15,15.38,15.26793899491624,15.26666666666667,15.0402
2016-09-16,15.37,15.35900104058273,15.375,15.0892
2016-09-19,15.43,15.3391593841032,15.35833333333333,15.1508
2016-09-20,15.45,15.23968320133389,15.23333333333333,15.1617
2016-09-21,15.52,15.19534497090607,15.1701244813278,15.1365
2016-09-22,15.59,15.18687707641196,15.17427385892116,15.1682
2016-09-23,15.49,15.17441860465116,15.19966722129784,15.1607
2016-09-26,15.42,15.21829521829522,15.28183716075157,15.2067
2016-09-27,15.43,15.21032902957101,15.28033472803347,15.2677
2016-09-28,15.42,15.21666666666667,15.21666666666667,15.305
